Actor_ID,Actors
201,Aamir Khan
202,Adah Sharma
203,Aditya Roy Kapoor
204,Adivi Sesh
205,Ajay Devgn
206,Ajith Kumar
207,Akhil Akkineni
208,Akshay Kumar
209,Alia Bhatt
210,Allu Arjun
211,amantha Ruth Prabhu
212,Amitabh Bachchan
213,Anand Deverakonda
214,Anil Kapoor
215,Anthony
216,Antony Varghese
217,Anushka Sharma
218,Anushka Shetty
219,Arjun Kapoor
220,Arun Vijay
221,Arundhati
222,Arvind Swamy
223,Arya
224,Asif Ali
225,Avantika
226,Ayushmann Khurrana
227,Bhumi Rajgor
228,Biju Menon
229,Chiranjeevi
230,Darshan Thoogudeep
231,Darshana Rajendran
232,Deepika Padukone
233,Dhanush
234,Dhivya Dhuraisamy
235,Dhruva Sarja
236,Diana Penty
237,Dileep
238,Disha Patani
239,Divyendu Sharma
240,Dulquer Salmaan
241,Duniya Vijay
242,Emraan Hashmi
243,Fahadh Faasil
244,Gopichand
245,Hrithik Roshan
246,Irrfan Khan
247,Jacqueline Fernandez
248,Jayam Ravi
249,Jayaram
250,Jayasurya
251,Jiiva
252,John Abraham
253,Joseph Vijay
254,Kamal Haasan
255,Kangana Ranaut
256,Kareena Kapoor
257,Karthi
258,Kartik Aaryan
259,Kartikeya Gummakonda
260,Kavin
261,Keerthy Suresh
262,Krishan Tandon
263,Kriti Sanon
264,Kunchacko Boban
265,Lakshya
266,Lloyd Owen
267,Madhavan
268,Mahesh Babu
269,Mammootty
270,Mithun Chakraborty
271,Mohanlal
272,N.T. Rama Rao Jr.
273,Naga Chaitanya Akkineni
274,Naga Shaurya
275,Nagarjuna Akkineni
276,Nandamuri Balakrishna
277,Nandamuri Kalyan Ram
278,Nani
279,Naslen
280,Naveen Polishetty
281,Nayanthara
282,Nikhil Siddharth
283,Nikhila Vimal
284,Nitanshi Goel
285,Nithiin
286,Nivin Pauly
287,Panja Vaisshnav Tej
288,Pankaj Tripathi
289,Parvathy Thiruvothu
290,Pawan Kalyan
291,Payal Rajput
292,Prabhas
293,Prabhu Deva
294,Pradeep Ranganathan
295,Pranav Mohanlal
296,Premgi Amaren
297,Prithviraj Sukumaran
298,Priyadarshi Pulikonda
299,Pulkit Samrat
300,Puneeth Rajkumar
301,R. Sarathkumar
302,Raghava Lawrence
303,Rajinikanth
304,Rajkummar Rao
305,Rajsekhar Aningi
306,Rakshit Shetty
307,Ram Charan
308,Ram Pothineni
309,Rana Daggubati
310,Ranbir Kapoor
311,Randeep Hooda
312,Rani Mukerji
313,Ranveer Singh
314,Ravi Teja
315,Rishab Shetty
316,RJ Balaji
317,Sachin Tendulkar
318,Sai Dharam Tej
319,Sai Srinivas Bellamkonda
320,Saif Ali Khan
321,Salman Khan
322,Samantha Ruth Prabhu
323,Santhanam
324,Sathish
325,Shah Rukh Khan
326,Shahid Kapoor
327,Sharik Khan Jr.
328,Sharvari
329,Sharwanand
330,Shivarajkumar
331,Shobana
332,Shraddha Kapoor
333,Siddharth
334,Siddique
335,Sidharth Malhotra
336,Sidhu Jonnalagadda
337,Siju Sunny
338,Silambarasan Rajendar
339,Sivakarthikeyan
340,Soori
341,Soubin Shahir
342,Sree Vishnu
343,Sri Murali
344,Sridevi
345,Sudeep
346,Sundeep Kishan
347,Suniel Shetty
348,Sunny Deol
349,Suresh Gopi
350,Suriya
351,Sushant Singh Rajput
352,Taapsee Pannu
353,Tabu
354,Tamannaah Bhatia
355,Teja Sajja
356,Thennal Abhilash
357,Tiger Shroff
358,Tovino Thomas
359,Unni Mukundan
360,Upendra
361,V. Ravichandran
362,Vaani Kapoor
363,Vadivelu
364,Varun Dhawan
365,Varun Tej
366,Venkatesh Daggubati
367,Vennela Kishore
368,Vicky Kaushal
369,Vidya Balan
370,Vijay Antony
371,Vijay Deverakonda
372,Vijay Sethupathi
373,Vikram
374,Vikram Aditya
375,Vikrant Massey
376,Vineeth Sreenivasan
377,Vishal
378,Vishnu Vishal
379,Vishwak Sen
380,VJ Archana
381,Yami Gautam
382,Yash
383,Zaira Wasim
