Director,Director ID
Rajkumar Hirani,101
Farah Khan,102
Sajid Nadiadwala,103
Siddharth Anand,104
Rohit Shetty,105
Sohail Khan,106
A.R. Murugadoss,107
Abhishek Varman,108
Mohit Suri,109
K.S. Ravikumar,110
Ali Abbas Zafar,111
Shashank Khaitan,112
Surender Reddy,113
Siva,114
Velraj,115
Soundarya Rajinikanth Vishagan,116
Prabhu Deva,117
"N. Linguswamy, Suresh",118
R.T. Neason,119
David Dhawan,120
Sabbir Khan,121
Vikram K. Kumar,122
Sreenu Vaitla,123
Krishna Vamsi,124
Vamshi Paidipally,125
Santhosh Ananddram,126
Krish Thirukumaran,127
Sukumar,128
Anjali Menon,129
"Sudeep, Nanda Kishore, Mahesh",130
Prashanth Neel,131
S. Shankar,132
Sanjay Leela Bhansali,133
Vijay Krishna Acharya,134
Remo D'Souza,135
Ahmed Khan,136
Siddharth P Malhotra,137
Amit Ravindernath Sharma,138
Meghna Gulzar,139
Koratala Siva,140
Amar Kaushik,141
Aanand L. Rai,142
Trivikram Srinivas,143
Reema Kagti,144
Luv Ranjan,145
Raj Kumar Gupta,146
Pa. Ranjith,147
Shashanka Ghosh,148
Parasuram,149
Vakkantham Vamsi,150
Mani Ratnam,151
Vignesh Shivan,152
Nag Ashwin,153
Rosshan Andrrews,154
Pandiraj,155
Ponram,156
Vetrimaaran,157
P.S. Mithran,158
V.A. Shrikumar Menon,159
Prem,160
Sathyan Anthikad,161
N. Linguswamy,162
Sriram Adittya,163
C.S. Amudhan,164
C. Prem Kumar,165
Hari,166
Kamal Haasan,167
Balaji Mohan,168
Venky Atluri,169
Shaji Padoor,170
Shakti Soundar Rajan,171
R. Ajay Gnanamuthu,172
"Suri, Abhi",173
Vijay Chandar,174
Rahul Sankrityan,175
Ram Kumar,176
Jeethu Joseph,177
Trinadha Rao Nakkina,178
Amal Neerad,179
Maruthi Dasari,180
Nelson Dilipkumar,181
Merlapaka Gandhi,182
Ajay Bhupathi,183
Fellini T.P.,184
Satish Vegesna,185
Sundar C.,186
Pawan Kumar,187
Zakariya,188
Venky Kudumula,189
Anand Shankar,190
Sashi Kiran Tikka,191
Sriwass,192
Kalyan Krishna,193
Vikram Sirikonda,194
S.S. Rajamouli,195
Advait Chandan,196
"Ali Abbas Zafar, Md Minhaj Miah",197
Saket Chaudhary,198
Shree Narayan Singh,199
Rahul Dholakia,200
Atlee,201
Sanjay Gupta,202
Kabir Khan,203
Subhash Kapoor,204
Ravi Udyawar,205
V.V. Vinayak,206
Imtiaz Ali,207
K.S. Ravindra,208
Milan Luthria,209
Harish Shankar,210
Mrighdeep Lamba,211
Bharathan,212
"Hari, P.H. Kumanan",213
Kishore Kumar Pardasani,214
Anees Bazmee,215
Sekhar Kammula,216
"Anurag Basu, Shubzz",217
Mohan Raja,218
Radha Krishna Jagarlamudi,219
James Erskine,220
Venu Sriram,221
R.S. Prasanna,222
"Gayatri, Pushkar, Gowtham Selvaraj",223
Sankalp Reddy,224
H. Vinoth,225
Ashwiny Iyer Tiwari,226
Shivam Nair,227
Suresh Triveni,228
Shiva Nirvana,229
Anil Ravipudi,230
Sandeep Reddy Vanga,231
Jibu Jacob,232
"Anshai Lal, Goswami Mahesh Gari Tulsigiri, Feroz Khan Bollybrothers",233
Jay.k,234
Haneef Adeni,235
"S Krishna, Rudresh M. Gowda",236
Harsha,237
Teja,238
Arun Gopy,239
"Gagan Bhullar, Sudha Kongara",240
Boyapati Srinu,241
Puri Jagannadh,242
Omkar,243
Midhun Manuel Thomas,244
Mysskin,245
Thirumala Kishore,246
Milind Rau,247
K.V. Anand,248
Chinthan,249
Sai Ramani,250
Mahesh Narayanan,251
Althaf Salim,252
Gopichand Malineni,253
Sampath Nandi,254
Sooraj R. Barjatya,255
Zoya Akhtar,256
Neeraj Pandey,257
Shoojit Sircar,258
Raghava Lawrence,259
Chimbudeven,260
Gunasekhar,261
Gautham Vasudev Menon,262
Alphonse Puthren,263
Venkat Prabhu,264
R.S. Vimal,265
Shafi,266
Nadirsha,267
"Surender Reddy, Gogu",268
Martin Prakkat,269
G. Prajith,270
Nitesh Tiwari,271
Karan Johar,272
Raja Menon,273
Tinu Suresh Desai,274
"Mathur Goswami, Neeraj Pandey",275
"Sajid, Farhad Samji",276
Maneesh Sharma,277
Vysakh,278
Ajay Devgn,279
Gauri Shinde,280
Rohit Dhawan,281
Ashutosh Gowariker,282
Aniruddha Roy Chowdhury,283
Aditya Chopra,284
Bakkiyaraj Kannan,285
Gokul,286
Abhinay Deo,287
Srikanth Addala,288
Sujoy Ghosh,289
Priyadarshan,290
Anthony D'Souza,291
Mudassar Aziz,292
Sasi,293
"Vineeth Sreenivasan, G. Prajith",294
Abrid Shine,295
Lokesh Kanagaraj,296
"Pritam Chakraborty, Kabir Khan, Amit Mishra",297
Buchi Babu Sana,298
Srinath Rajendran,299
Tarun Sudhir,300
Anudeep K.V.,301
Mahesh Manjrekar,302
Mari Selvaraj,303
Ranjit Tewari,304
Nanda Kishore,305
Shiva Karthik,306
Bommarillu Baskar,307
Jofin T. Chacko,308
Duniya Vijay,309
"Mani Ratnam, Sruti Harihara Subramanian",310
Ayan Mukerji,311
Rishab Shetty,312
Abhishek Pathak,313
Vivek Agnihotri,314
Saagar K Chandra,315
K.K. Radhakrishna Kumar,316
Raj Mehta,317
"Gayatri, Pushkar",318
Chandoo Mondeti,319
Mithran Jawahar,320
Cibi Chakravarthi,321
Kiranraj K,322
Anup Bhandari,323
Hanu Raghavapudi,324
Chethan Kumar,325
"Chandra Prakash Dwivedi, Grswkk",326
Pradeep Ranganathan,327
Farhad Samji,328
Mallidi Vasishta,329
M. Muthaiah,330
Karan Malhotra,331
Vineeth Sreenivasan,332
Vishnu Sasi Shankar,333
Indra Kumar,334
Dijo Jose Antony,335
Madhavan,336
Shaji Kailas,337
Anubhuti Kashyap,338
Vipin Das,339
Sailesh Kolanu,340
Khalid Rahman,341
Nissam Basheer,342
Vivek Athreya,343
K. Selvaraghavan,344
"Harish Narayan, K. Hari Shankar",345
Ratheesh Balakrishnan Poduval,346
K. Madhu,347
Gowtam Tinnanuri,348
Vimal Krishna,349
Joshiy,350
Harshavardhan Kulkarni,351
Ramesh Varma,352
Nagraj Manjule,353
Palnati Surya Pratap,354
Lakshya Raj Anand,355
Shree Karthick,356
B. Unnikrishnan,357
R Balki,358
Om Raut,359
Hitesh Kewalya,360
Anubhav Sinha,361
R.S. Durai Senthilkumar,362
Sachy,363
Ajai Vasudev,364
Nitin Kakkar,365
Bhanu Pratap Singh,366
Anoop Sathyan,367
Anwar Rasheed,368
"Kranthi Madhav, Gaurav Mahaur",369
Sujeeth,370
Aditya Dhar,371
Jagan Shakti,372
Karthik Subbaraj,373
Vikas Bahl,374
Anurag Singh,375
"Radha Krishna Jagarlamudi, Kangana Ranaut",376
Akiv Ali,377
Prithviraj Sukumaran,378
Laxman Utekar,379
Punit Malhotra,380
Naganna,381
"Puri Jagannadh, A.R. Sreedhar",382
"Sachin Ravi, Sachin",383
S Krishna,384
"V. Harikrishna, Ponkumaran",385
Pawan Wadeyar,386
Rajesh M. Selva,387
Madhu C. Narayanan,388
Bharat Kamma,389
Girish A.D.,390
B.V. Nandini Reddy,391
M. Padmakumar,392
Dhyan Sreenivasan,393
Jean Paul Lal,394
M. Rajesh,395
Thiagarajan Kumararaja,396
Jibi Joju,397
Magizh Thirumeni,398
M.D. Sridhar,399
Rambhala,400
B.C. Noufal,401
Manu Ashokan,402
Aashiq Abu,403
Prabhu,404
K.V. Guhan,405
Anil Sharma,406
"Sudipto Sen, Vipul Amrutlal Shah",407
Amit Rai,408
Jude Anthany Joseph,409
"Gauri Joshi, Raaj Shaandilyaa",410
Srikanth Odela,411
Sameer Vidwans,412
Samuthirakani,413
Adhik Ravichandran,414
Karthik Varma Dandu,415
Nahas Hidayath,416
Roby Varghese Raj,417
Sai Rajesh Neelam,418
Madonne Ashwin,419
Shouryuv,420
Vidhu Vinod Chopra,421
Jithu Madhavan,422
"P. Vasu, Mahendran",423
Mahesh Babu P.,424
Vamsee,425
V. Harikrishna,426
"Vignesh Raja, T. Senthil Paramasivam",427
Vijay Antony,428
Meher Ramesh,429
"R. Chandru, Shivu Hiremath, Soori",430
Abhilash Joshiy,431
S. Prem Anand,432
Ashima Chibber,433
Obeli N. Krishna,434
Ram Abbaraju,435
Arun Varma,436
Srini,437
Venu Yeldandi,438
Raju Murugan,439
Hemanth M. Rao,440
Kalyan Shankar,441
Abhishek Nama,442
Sudheer Varma,443
Vishwak Sen,444
Anil Viswanath,445
Raffi,446
Garry Bh,447
Ganesh K. Babu,448
Prasanth Varma,449
T.J. Gnanavel,450
Chidambaram,451
Blessy,452
Dhanush,453
Rajesh A Krishnan,454
"Amit Joshi, Aradhana Sah",455
Mallik Ram,456
Aditya Sarpotdar,457
Anand Tiwari,458
Aditya Suhas Jambhale,459
Nithilan Saminathan,460
Jithin Lal,461
R. Ravikumar,462
Arun Matheswaran,463
Dinjith Ayyathan,464
Tushar Hiranandani,465
Rahul Sadasivan,466
"Sagar Ambre, Pushkar Ojha",467
Sharan Sharma,468
Nikhil Nagesh Bhat,469
Kunal Kemmu,470
Vijay Binni,471
Anand Menon,472
Sudha Kongara,473
Aishwarya Dhanush,474
Randeep Hooda,475
Karthik Gattamneni,476
Ritesh Rana,477
Lijo Jose Pellissery,478
Kiran Rao,479
Sriram Raghavan,480
Elan,481
Vidyadhar Kagita,482
Vi Anand,483
Krishna Chaitanya,484
