Genre,GenreID
"Comedy, Drama, Sci-Fi",601
"Action, Comedy, Crime, Drama, Music",602
"Action, Comedy, Crime, Thriller",603
"Action, Adventure, Comedy, Musical, Romance, Thriller",604
"Action, Crime, Drama",605
"Action, Drama",606
"Action, Crime, Thriller",607
"Comedy, Drama, Romance",608
"Action, Crime, Drama, Romance, Thriller",609
"Action, Comedy, Drama",610
"Action, Drama, Musical, Romance",611
"Action, Comedy",612
"Action, Comedy, Drama, Romance",613
"Animation, Action, Adventure, History",614
"Action, Comedy, Romance",615
"Action, Romance",616
"Comedy, Drama, Fantasy",617
"Action, Thriller",618
"Action, Drama, Romance",619
"Comedy, Drama",620
"Action, Crime, Drama, Thriller",621
"Action, Sci-Fi, Thriller",622
"Biography, Comedy, Drama",623
"Drama, History, Romance, War",624
"Action, Adventure",625
"Action, Crime, Drama, Mystery, Thriller",626
"Action, Drama, Thriller",627
"Comedy, Horror",628
"Drama, History, Sport",629
"Comedy, Romance",630
Comedy,631
"Action, Comedy, Crime",632
"Biography, Drama",633
"Action, Drama, History",634
"Action, Drama, Fantasy, Thriller",635
"Drama, Romance",636
Action,637
Romance,638
"Action, Adventure, Sci-Fi, Thriller",639
"Action, Crime",640
"Comedy, Horror, Thriller",641
"Comedy, Crime, Drama",642
"Drama, Family",643
"Crime, Horror, Mystery, Thriller",644
"Comedy, Sport",645
"Action, Comedy, Family, Romance",646
Drama,647
"Drama, Fantasy",648
"Action, Comedy, Crime, Drama",649
"Drama, Music",650
"Action, Adventure, Thriller",651
"Action, Comedy, Horror",652
"Drama, War",653
"Crime, Drama, Thriller",654
"Action, Drama, Romance, Thriller",655
"Action, Adventure, Comedy, Musical, Mystery",656
"Action, History",657
"Documentary, Sport",658
"Action, Drama, Thriller, War",659
"Comedy, Drama, Fantasy, Musical, Romance",660
"Horror, Mystery, Thriller",661
"Action, Drama, Music, Romance",662
"Action, Romance, Thriller",663
"Drama, Thriller",664
"Action, Drama, Sport",665
Horror,666
"Action, Adventure, Drama, Romance",667
"Comedy, Family, Romance",668
"Action, Adventure, Comedy, Drama",669
"Action, Drama, History, Romance, War",670
"Action, Drama, Romance, Sci-Fi, Thriller",671
"Biography, Drama, Music",672
"Action, Adventure, Fantasy",673
"Action, Biography, Drama, History, War",674
"Action, Comedy, Drama, Horror",675
"Biography, Drama, Romance",676
"Adventure, Drama, Romance, Thriller",677
"Comedy, Thriller",678
"Action, Biography, Drama, Sport",679
"Action, Drama, Romance, Sport",680
"Drama, Music, Musical, Romance",681
"Biography, Drama, Sport",682
"Action, Adventure, Crime, Drama, Thriller",683
"Action, Adventure, Comedy",684
"Action, Adventure, Drama, History",685
"Action, Comedy, Drama, Musical, Sci-Fi, Thriller",686
"Action, Comedy, Fantasy, Horror",687
"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",688
"Mystery, Thriller",689
"Biography, Drama, Family",690
"Action, Comedy, Thriller",691
"Biography, Drama, History, Sport",692
"Action, Comedy, Crime, Drama, Thriller",693
"Biography, Crime, Drama, Thriller",694
"Action, Comedy, Musical",695
"Action, Drama, History, War",696
"Comedy, Drama, Horror",697
"Action, Adventure, Drama",698
"Action, Adventure, Drama, Thriller",699
"Crime, Drama, Mystery, Thriller",700
"Biography, Crime, Drama",701
"Comedy, Drama, Family, Romance",702
"Action, Adventure, Fantasy, Mystery, Thriller",703
"Comedy, Drama, Musical, Romance",704
"Adventure, Comedy, Drama",705
"Action, Drama, Mystery, Romance",706
"Comedy, Drama, Family",707
"Action, Drama, Fantasy",708
"Action, Crime, Romance, Thriller",709
"Action, Biography, Drama, Thriller",710
"Drama, Musical, Romance",711
"Comedy, Fantasy",712
"Adventure, Drama",713
"Action, Mystery, Thriller",714
"Action, Horror, Thriller",715
"Action, Crime, Sci-Fi, Thriller",716
"Crime, Mystery, Thriller",717
"Drama, Sport",718
"Action, Comedy, Crime, Romance",719
"Crime, Drama",720
"Drama, Sci-Fi, Thriller",721
"Crime, Drama, Horror, Mystery, Thriller",722
"Action, Biography, Drama, History",723
"Comedy, Crime, Romance",724
"Action, Comedy, Drama, Fantasy, Romance",725
"Drama, History",726
"Drama, Music, Romance",727
"Action, Drama, History, Thriller, War",728
"Action, Comedy, Drama, Romance, Sport",729
"History, War",730
"Action, Adventure, Comedy, Drama, Fantasy",731
"Action, Comedy, Drama, Thriller",732
"Comedy, Crime, Drama, Thriller",733
"Action, Adventure, Comedy, Drama, Romance",734
"Action, Adventure, Drama, Fantasy",735
"Biography, Drama, War",736
"Comedy, Drama, Family, Fantasy",737
"Action, Comedy, Crime, Drama, Sci-Fi",738
"Action, Horror, Mystery, Thriller",739
"Action, Comedy, Drama, Fantasy, Thriller",740
"Drama, Family, Romance",741
"Comedy, Drama, Romance, Thriller",742
"Action, Biography, Drama, History, Thriller",743
"Action, Drama, Sci-Fi, Thriller",744
"Crime, Thriller",745
"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",746
"Adventure, Drama, Thriller",747
"Drama, Horror, Thriller",748
"Comedy, Drama, Romance, Sci-Fi",749
"Action, Comedy, Crime, Drama, Romance",750
"Action, Biography, Drama, History, Sport, War",751
"Action, Adventure, Sci-Fi",752
"Drama, Mystery, Thriller",753
"Horror, Thriller",754
Mystery,755
"Action, Drama, Fantasy, Thriller, Western",756
"Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",757
"Fantasy, Thriller",758
"Action, Crime, Drama, History",759
